Sample Name,lat,lon,Collection_date,plant
AalE_18-Q3-R2-46,57.045161,10.045761,8/29/18,Aalborg E
AalW_18-Q3-R10-53,57.049513,9.864788,8/29/18,Aalborg W
Aved_18-Q3-R54-62,55.608613,12.450537,8/30/18,Avedore
Bjer_18-Q3-R1-45,55.649286,12.058568,8/29/18,Bjergmarken
Damh_18-Q3-R51-60,55.640546,12.505848,8/29/18,Damhusaen
Ega_18-Q3-R5-49,56.21314,10.242467,8/28/18,Ega
Ejby_18-Q3-R6-50,55.399534,10.414787,8/29/18,Ejby Molle
EsbE_18-Q3-R3-47,55.458597,8.489092,8/29/18,Esbjerg E
EsbW_18-Q3-R4-48,55.488097,8.430505,9/7/18,Esbjerg W
Fred_18-Q3-R57-64,55.552368,9.720404,8/29/18,Frederica
Hade_18-Q3-R52-61,55.249786,9.508609,8/29/18,Haderslev
Hirt_18-Q3-R61-65,57.577275,9.992971,8/29/18,Hirtshals
Hjor_18-Q3-R7-51,57.421265,9.975411,8/29/18,Hjorring
Kalu_18-Q3-R12-55,55.668006,11.107247,9/3/18,Kalundborg
Lyne_18-Q3-R50-59,55.695362,12.612702,8/29/18,Lynetten
Mari_18-Q3-R65-66,56.742252,10.114475,8/29/18,Mariagerfjord
OdNE_18-Q3-R46-58,55.432604,10.458855,8/29/18,Odense NE
OdNW_18-Q3-R42-56,55.421534,10.366234,8/29/18,Odense NW
Rand_18-Q3-R56-63,56.453767,10.070249,8/29/18,Randers
Ribe_18-Q3-R11-54,55.329053,8.74336,8/29/18,Ribe
Skiv_18-Q3-R9-52,56.565132,9.042158,9/7/18,Skive
Vibo_18-Q3-R45-57,56.425251,9.455198,8/29/18,Viborg
Viby_18-Q3-R106-67,56.126497,10.141274,8/29/18,Viby